FP,State,Abbr,E_1990,E_2000,E_2010
1.00,Alabama,AL,9,9,9
2.00,Alaska,AK,3,3,3
4.00,Arizona,AZ,8,10,11
5.00,Arkansas,AR,6,6,6
6.00,California,CA,54,55,55
8.00,Colorado,CO,8,9,9
9.00,Connecticut,CT,8,7,7
10.00,Delaware,DE,3,3,3
11.00,District of Columbia,DC,3,3,3
12.00,Florida,FL,25,27,29
13.00,Georgia,GA,13,15,16
15.00,Hawaii,HI,4,4,4
16.00,Idaho,ID,4,4,4
17.00,Illinois,IL,22,21,20
18.00,Indiana,IN,12,11,11
19.00,Iowa,IA,7,7,6
20.00,Kansas,KS,6,6,6
21.00,Kentucky,KY,8,8,8
22.00,Louisiana,LA,9,9,8
23.00,Maine,ME,4,4,4
24.00,Maryland,MD,10,10,10
25.00,Massachusetts,MA,12,12,11
26.00,Michigan,MI,18,17,16
27.00,Minnesota,MN,10,10,10
28.00,Mississippi,MS,7,6,6
29.00,Missouri,MO,11,11,10
30.00,Montana,MT,3,3,3
31.00,Nebraska,NE,5,5,5
32.00,Nevada,NV,4,5,6
33.00,New Hampshire,NH,4,4,4
34.00,New Jersey,NJ,15,15,14
35.00,New Mexico,NM,5,5,5
36.00,New York,NY,33,31,29
37.00,North Carolina,NC,14,15,15
38.00,North Dakota,ND,3,3,3
39.00,Ohio,OH,21,20,18
40.00,Oklahoma,OK,8,7,7
41.00,Oregon,OR,7,7,7
42.00,Pennsylvania,PA,23,21,20
44.00,Rhode Island,RI,4,4,4
45.00,South Carolina,SC,8,8,9
46.00,South Dakota,SD,3,3,3
47.00,Tennessee,TN,11,11,11
48.00,Texas,TX,32,32,38
49.00,Utah,UT,5,5,6
50.00,Vermont,VT,3,3,3
51.00,Virginia,VA,13,13,13
53.00,Washington,WA,11,11,12
54.00,West Virginia,WV,5,5,5
55.00,Wisconsin,WI,11,10,10
56.00,Wyoming,WY,3,3,3
60.00,American Samoa,AS,0,0,0
66.00,Guam,GU,0,0,0
69.00,Northern Mariana Islands,MP,0,0,0
72.00,Puerto Rico,PR,0,0,0
78.00,Virgin Islands,VI,0,0,0
